Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Variant Image,Variant Weight Unit,Cost per item,Status,QA probe (product.metafields.custom.qa_probe_no_def)
qa-probe-09-option-value-long,QA probe option-value-long,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Size,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,,,,,QAP-option-value-long-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-10-metafield-no-definition,QA probe metafield-no-definition,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-metafield-no-definition-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,probe value
qa-probe-11-gift-card,QA probe gift-card,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-gift-card-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,TRUE,,,,draft,
qa-probe-12-price-text,QA probe price-text,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-text-1,,,,deny,manual,abc,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-13-price-negative,QA probe price-negative,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-negative-1,,,,deny,manual,-5.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-14-compare-at-text,QA probe compare-at-text,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-compare-at-text-1,,,,deny,manual,10.00,abc,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-15-cost-text,QA probe cost-text,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-cost-text-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,cheap,draft,
qa-probe-16-grams-text,QA probe grams-text,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-grams-text-1,heavy,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-17-weight-unit-invalid,QA probe weight-unit-invalid,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-weight-unit-invalid-1,100,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,stone,,draft,
qa-probe-18-inventory-policy-invalid,QA probe inventory-policy-invalid,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-inventory-policy-invalid-1,,,,maybe,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-19-inventory-qty-decimal,QA probe inventory-qty-decimal,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-inventory-qty-decimal-1,,shopify,1.5,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-20-status-invalid,QA probe status-invalid,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-status-invalid-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,live,
qa-probe-21-title-blank,,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-title-blank-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-22-title-long,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-title-long-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-23-vendor-long,QA probe vendor-long,<p>Synthetic rejection probe.</p>,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-vendor-long-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-24-type-long,QA probe type-long,<p>Synthetic rejection probe.</p>,QA Probe,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,"qa-import, qa-probe",FALSE,,,,,,,QAP-type-long-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-25-tag-long,QA probe tag-long,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe, LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL",FALSE,,,,,,,QAP-tag-long-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-26-sku-long,QA probe sku-long,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-27-barcode-long,QA probe barcode-long,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-barcode-long-1,,,,deny,manual,10.00,,TRUE,TRUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,,,,FALSE,,,,draft,
qa-probe-28-image-not-a-url,QA probe image-not-a-url,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-image-not-a-url-1,,,,deny,manual,10.00,,TRUE,TRUE,,not a url,,,FALSE,,,,draft,
qa-probe-29-image-unreachable,QA probe image-unreachable,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-image-unreachable-1,,,,deny,manual,10.00,,TRUE,TRUE,,https://example.invalid/missing.jpg,,,FALSE,,,,draft,
qa-probe-30-variant-image-only,QA probe variant-image-only,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Size,S,,,,,QAP-variant-image-only-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,,,draft,
qa-probe-30-variant-image-only,,,,,,,,M,,,,,QAP-variant-image-only-2,,,,deny,manual,10.00,,,,,,,,,,,,,
qa-probe-31-compare-at-lower,QA probe compare-at-lower,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-compare-at-lower-1,,,,deny,manual,10.00,5.00,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-32-price-dollar,QA probe price-dollar,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-dollar-1,,,,deny,manual,$10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-33-price-thousands,QA probe price-thousands,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-thousands-1,,,,deny,manual,"1,000.00",,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-34-price-decimal-comma,QA probe price-decimal-comma,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-decimal-comma-1,,,,deny,manual,"10,50",,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-35-price-three-decimals,QA probe price-three-decimals,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-three-decimals-1,,,,deny,manual,10.999,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-36-price-exponent,QA probe price-exponent,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-exponent-1,,,,deny,manual,1e2,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-37-price-currency-word,QA probe price-currency-word,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-currency-word-1,,,,deny,manual,10 USD,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-38-price-leading-dot,QA probe price-leading-dot,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-price-leading-dot-1,,,,deny,manual,.5,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-39-compare-at-dollar,QA probe compare-at-dollar,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-compare-at-dollar-1,,,,deny,manual,10.00,$5,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-40-cost-currency-word,QA probe cost-currency-word,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-cost-currency-word-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,5 USD,draft,
qa-probe-41-grams-with-unit,QA probe grams-with-unit,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-grams-with-unit-1,100g,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-42-grams-thousands,QA probe grams-thousands,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-grams-thousands-1,"1,000",,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-43-grams-negative,QA probe grams-negative,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-grams-negative-1,-5,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-44-policy-capitalised,QA probe policy-capitalised,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-policy-capitalised-1,,,,Deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-45-policy-upper,QA probe policy-upper,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-policy-upper-1,,,,CONTINUE,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-46-policy-leading-space,QA probe policy-leading-space,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-policy-leading-space-1,,,, continue,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-47-policy-blank,QA probe policy-blank,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,Size,S,,,,,QAP-policy-blank-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-47-policy-blank,,,,,,,,M,,,,,QAP-policy-blank-2,,,,,manual,10.00,,,,,,,,,,,,,
qa-probe-48-policy-blank-image-row,QA probe policy-blank-image-row,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-policy-blank-image-row-1,,,,deny,manual,10.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,,,FALSE,,,,draft,
qa-probe-48-policy-blank-image-row,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-2.png,,,,,,,,
qa-probe-49-status-capitalised,QA probe status-capitalised,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-status-capitalised-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,Active,
qa-probe-50-status-unlisted,QA probe status-unlisted,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-status-unlisted-1,,,,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,unlisted,
qa-probe-51-qty-negative,QA probe qty-negative,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-qty-negative-1,,shopify,-3,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
qa-probe-52-qty-text,QA probe qty-text,<p>Synthetic rejection probe.</p>,QA Probe,Probe,"qa-import, qa-probe",FALSE,,,,,,,QAP-qty-text-1,,shopify,ten,deny,manual,10.00,,TRUE,TRUE,,,,,FALSE,,,,draft,
